"EVENT_MONTH/EVENT_DAY","INEXACT_DATE_DESCRIPTION"
"01/41","January (1st 10 Days)"
"01/42","January (2nd 10 Days)"
"01/43","January (Last 10 Days)"
"01/99","January (Unknown Day)"
"02/41","February (1st 10 Days)"
"02/42","February (2nd 10 Days)"
"02/43","February (Last 10 Days)"
"02/99","February (Unknown Day)"
"03/41","March (1st 10 Days)"
"03/42","March (2nd 10 Days)"
"03/43","March (Last 10 Days)"
"03/99","March (Unknown Day)"
"04/41","April (1st 10 Days)"
"04/42","April (2nd 10 Days)"
"04/43","April (Last 10 Days)"
"04/99","April (Unknown Day)"
"05/41","May (1st 10 Days)"
"05/42","May (2nd 10 Days)"
"05/43","May (Last 10 Days)"
"05/99","May (Unknown Day)"
"06/41","June (1st 10 Days)"
"06/42","June (2nd 10 Days)"
"06/43","June (Last 10 Days)"
"06/99","June (Unknown Day)"
"07/41","July (1st 10 Days)"
"07/42","July (2nd 10 Days)"
"07/43","July (Last 10 Days)"
"07/99","July (Unknown Day)"
"08/41","August (1st 10 Days)"
"08/42","August (2nd 10 Days)"
"08/43","August (Last 10 Days)"
"08/99","August (Unknown Day)"
"09/41","September (1st 10 Days)"
"09/42","September (2nd 10 Days)"
"09/43","September (Last 10 Days)"
"09/99","September (Unknown Day)"
"10/41","October (1st 10 Days)"
"10/42","October (2nd 10 Days)"
"10/43","October (Last 10 Days)"
"10/99","October (Unknown Day)"
"11/41","November (1st 10 Days)"
"11/42","November (2nd 10 Days)"
"11/43","November (Last 10 Days)"
"11/99","November (Unknown Day)"
"12/41","December (1st 10 Days)"
"12/42","December (2nd 10 Days)"
"12/43","December (Last 10 Days)"
"12/99","December (Unknown Day)"
"83/99","Spring (03/20/YY thru 06/20/YY)"
"82/99","Summer (06/21/YY thru 09/21/YY)"
"92/99","Winter (12/21/YY-1 thru 03/19/YY)"
"93/99","Fall (09/22/YY thru 12/20/YY)"
"94/99","Hunting Season (09/01/YY thru 03/31/YY+1)"
"99/99","Unknown Month and Day"
"02/45","Feb (Special Hunt Season)"
"03/45","Mar (Special Hunt Season)"
"04/45","Apr (Special Hunt Season)"
"05/45","May (Special Hunt Season)"
"06/45","Jun (Special Hunt Season)"
"07/45","Jul (Special Hunt Season)"
"08/45","Aug (Special Hunt Season)"
