"PRESENT_CONDITION_CODE","PRESENT_CONDITION_BIRD","PRESENT_CONDITION_BAND"
"00","UNKNOWN","UNKNOWN"
"01","UNKNOWN","LEFT ON BIRD"
"02","UNKNOWN","REMOVED"
"03","DEAD","UNKNOWN"
"04","DEAD","LEFT ON BIRD"
"05","DEAD","REMOVED"
"06","ALIVE - RELEASED","UNKNOWN"
"07","ALIVE - RELEASED","LEFT ON BIRD"
"08","ALIVE - RELEASED","REMOVED"
"09","ALIVE - IN CAPTIVITY","UNKNOWN"
"10","ALIVE - IN CAPTIVITY","LEFT ON BIRD"
"11","ALIVE - IN CAPTIVITY","REMOVED"
"12","ALIVE - UNKNOWN","UNKNOWN"
"13","ALIVE - UNKNOWN","LEFT ON BIRD"
"14","ALIVE - UNKNOWN","REMOVED"
